Overriding config with config/train_gpt2.py:
# config for training GPT-2 (124M) down to very nice loss of ~2.85 on 1 node of 8X A100 40GB
# launch as the following (e.g. in a screen session) and wait ~5 days:
# $ torchrun --standalone --nproc_per_node=8 train.py config/train_gpt2.py

wandb_log = True
wandb_project = 'CS182-final-project'
wandb_run_name='gpt2-124M'

# these make the total batch size be ~0.5M
# each encryption key has 1024 plaintext/ciphertext pairs
# 256 batch size * 2048 block size * 1 gradient_accumulation_steps = 524,288
batch_size = 256
block_size = 2048
gradient_accumulation_steps = 1

# this makes total number of tokens be ~21M, with ~10M input/output pairs
max_iters = 1000
lr_decay_iters = 1000

# eval stuff
eval_interval = 100
eval_iters = 50
log_interval = 1

# weight decay
weight_decay = 1e-1

Overriding: wandb_log = False
Overriding: wandb_run_name = lr-1e-1
Overriding: learning_rate = 0.1
tokens per iteration will be: 524,288
Using vocab size of 28 (a-z + separators)
/pscratch/sd/a/adityat/CS182-project/train.py:259: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Initializing a new model from scratch
number of parameters: 6.30M
num decayed parameter tensors: 34, with 6,822,912 parameters
num non-decayed parameter tensors: 17, with 4,352 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
iter 83: loss 0.0030, time 535.65ms, mfu 27.63%
iter 84: loss 0.0032, time 532.08ms, mfu 27.65%
iter 85: loss 0.0029, time 534.56ms, mfu 27.65%
iter 86: loss 0.0030, time 532.85ms, mfu 27.67%
iter 87: loss 0.0031, time 537.02ms, mfu 27.66%
iter 88: loss 0.0029, time 538.70ms, mfu 27.64%
iter 89: loss 0.0029, time 537.74ms, mfu 27.63%
iter 90: loss 0.0030, time 536.34ms, mfu 27.63%
iter 91: loss 0.0030, time 530.71ms, mfu 27.66%
iter 92: loss 0.0030, time 536.39ms, mfu 27.66%
iter 93: loss 0.0030, time 537.79ms, mfu 27.64%
iter 94: loss 0.0030, time 537.38ms, mfu 27.64%
iter 95: loss 0.0031, time 533.80ms, mfu 27.65%
iter 96: loss 0.0030, time 528.98ms, mfu 27.68%
iter 97: loss 0.0030, time 532.49ms, mfu 27.70%
iter 98: loss 0.0030, time 540.65ms, mfu 27.67%
iter 99: loss 0.0030, time 535.83ms, mfu 27.66%
step 100: train loss 0.0030, val loss 0.0030
iter 100: loss 0.0030, time 36277.62ms, mfu 24.94%
iter 101: loss 0.0030, time 538.29ms, mfu 25.20%
iter 102: loss 0.0031, time 532.98ms, mfu 25.46%
iter 103: loss 0.0029, time 533.35ms, mfu 25.69%
iter 104: loss 0.0030, time 538.66ms, mfu 25.87%
iter 105: loss 0.0031, time 535.86ms, mfu 26.05%
iter 106: loss 0.0030, time 531.36ms, mfu 26.23%
iter 107: loss 0.0030, time 534.98ms, mfu 26.38%
iter 108: loss 0.0031, time 532.47ms, mfu 26.52%
iter 109: loss 0.0030, time 544.48ms, mfu 26.59%
iter 110: loss 0.0030, time 537.85ms, mfu 26.68%
iter 111: loss 0.0029, time 531.50ms, mfu 26.80%
iter 112: loss 0.0030, time 536.57ms, mfu 26.88%
iter 113: loss 0.0031, time 543.44ms, mfu 26.92%
iter 114: loss 0.0031, time 536.95ms, mfu 26.99%
iter 115: loss 0.0030, time 532.72ms, mfu 27.07%
iter 116: loss 0.0030, time 534.47ms, mfu 27.13%
iter 117: loss 0.0029, time 533.51ms, mfu 27.20%
iter 118: loss 0.0030, time 535.95ms, mfu 27.24%
iter 119: loss 0.0036, time 538.97ms, mfu 27.26%
iter 120: loss 0.0059, time 536.43ms, mfu 27.30%
iter 121: loss 0.0260, time 537.14ms, mfu 27.33%
iter 122: loss 0.5994, time 530.31ms, mfu 27.39%
iter 123: loss 10.9879, time 537.56ms, mfu 27.40%
iter 124: loss 4.6496, time 536.60ms, mfu 27.42%
iter 125: loss 3.4465, time 533.40ms, mfu 27.46%
iter 126: loss 3.8368, time 536.44ms, mfu 27.47%
iter 127: loss 3.2358, time 537.86ms, mfu 27.48%
iter 128: loss 3.1104, time 534.37ms, mfu 27.51%
iter 129: loss 3.2314, time 533.79ms, mfu 27.53%
iter 130: loss 3.0284, time 532.81ms, mfu 27.56%
iter 131: loss 2.7665, time 533.35ms, mfu 27.58%
iter 132: loss 2.6621, time 536.04ms, mfu 27.58%
iter 133: loss 2.6242, time 530.20ms, mfu 27.62%
iter 134: loss 2.6534, time 537.07ms, mfu 27.62%
iter 135: loss 2.6587, time 531.97ms, mfu 27.64%
iter 136: loss 2.6571, time 535.84ms, mfu 27.64%
iter 137: loss 2.6841, time 529.42ms, mfu 27.67%
iter 138: loss 2.6333, time 536.42ms, mfu 27.67%
iter 139: loss 2.6696, time 535.26ms, mfu 27.67%
iter 140: loss 2.6428, time 544.31ms, mfu 27.62%
iter 141: loss 2.5735, time 532.62ms, mfu 27.64%
iter 142: loss 2.5314, time 537.18ms, mfu 27.63%
iter 143: loss 2.5627, time 536.85ms, mfu 27.63%
iter 144: loss 2.4168, time 548.07ms, mfu 27.57%
iter 145: loss 2.2919, time 536.54ms, mfu 27.57%
iter 146: loss 2.2341, time 531.17ms, mfu 27.61%
iter 147: loss 2.0857, time 532.27ms, mfu 27.63%
iter 148: loss 1.9395, time 532.66ms, mfu 27.65%
iter 149: loss 1.8475, time 538.09ms, mfu 27.63%
iter 150: loss 1.6689, time 537.10ms, mfu 27.63%
iter 151: loss 1.4636, time 530.41ms, mfu 27.66%
iter 152: loss 1.2755, time 533.11ms, mfu 27.67%
iter 153: loss 1.0613, time 528.89ms, mfu 27.70%
iter 154: loss 0.9039, time 528.30ms, mfu 27.74%
iter 155: loss 0.8318, time 533.92ms, mfu 27.74%
iter 156: loss 0.7190, time 532.51ms, mfu 27.75%
iter 157: loss 0.6324, time 534.18ms, mfu 27.74%
iter 158: loss 0.5852, time 531.92ms, mfu 27.76%
iter 159: loss 0.5590, time 530.54ms, mfu 27.77%
iter 160: loss 0.4505, time 528.82ms, mfu 27.80%
iter 161: loss 0.3702, time 529.85ms, mfu 27.81%
iter 162: loss 0.3209, time 528.95ms, mfu 27.83%
iter 163: loss 0.3066, time 532.48ms, mfu 27.83%
iter 164: loss 0.2681, time 534.57ms, mfu 27.82%
iter 165: loss 0.2466, time 532.45ms, mfu 27.82%
iter 166: loss 0.2134, time 531.49ms, mfu 27.82%
iter 167: loss 0.1788, time 529.62ms, mfu 27.84%
iter 168: loss 0.1437, time 531.56ms, mfu 27.84%
iter 169: loss 0.1148, time 529.57ms, mfu 27.85%
iter 170: loss 0.1027, time 533.25ms, mfu 27.85%
iter 171: loss 0.0874, time 533.29ms, mfu 27.84%
iter 172: loss 0.0635, time 534.64ms, mfu 27.83%
iter 173: loss 0.0585, time 529.11ms, mfu 27.84%
iter 174: loss 0.0534, time 529.43ms, mfu 27.86%
iter 175: loss 0.0494, time 531.75ms, mfu 27.86%
iter 176: loss 0.0461, time 527.95ms, mfu 27.88%
iter 177: loss 0.0409, time 533.43ms, mfu 27.87%
iter 178: loss 0.0364, time 527.23ms, mfu 27.89%
iter 179: loss 0.0343, time 529.17ms, mfu 27.90%
iter 180: loss 0.0316, time 532.18ms, mfu 27.89%
iter 181: loss 0.0297, time 531.06ms, mfu 27.89%
iter 182: loss 0.0277, time 528.82ms, mfu 27.90%
iter 183: loss 0.0273, time 532.99ms, mfu 27.89%
iter 184: loss 0.0248, time 527.26ms, mfu 27.91%
iter 185: loss 0.0239, time 529.88ms, mfu 27.92%
iter 186: loss 0.0235, time 528.71ms, mfu 27.93%
iter 187: loss 0.0212, time 529.08ms, mfu 27.93%
iter 188: loss 0.0200, time 530.52ms, mfu 27.93%
iter 189: loss 0.0204, time 533.57ms, mfu 27.92%
iter 190: loss 0.0183, time 533.40ms, mfu 27.90%
iter 191: loss 0.0184, time 529.95ms, mfu 27.91%
iter 192: loss 0.0170, time 532.41ms, mfu 27.90%
iter 193: loss 0.0157, time 529.73ms, mfu 27.90%
iter 194: loss 0.0155, time 531.42ms, mfu 27.90%
iter 195: loss 0.0140, time 528.93ms, mfu 27.91%
iter 196: loss 0.0126, time 532.26ms, mfu 27.90%
iter 197: loss 0.0112, time 539.35ms, mfu 27.86%
iter 198: loss 0.0108, time 534.84ms, mfu 27.84%
iter 199: loss 0.0106, time 535.64ms, mfu 27.82%
step 200: train loss 0.0100, val loss 0.0100
iter 200: loss 0.0098, time 36275.73ms, mfu 25.08%
iter 201: loss 0.0098, time 532.90ms, mfu 25.35%
iter 202: loss 0.0095, time 534.62ms, mfu 25.59%
iter 203: loss 0.0089, time 531.99ms, mfu 25.81%
iter 204: loss 0.0087, time 533.10ms, mfu 26.01%
iter 205: loss 0.0079, time 531.37ms, mfu 26.20%
iter 206: loss 0.0076, time 531.58ms, mfu 26.37%
iter 207: loss 0.0078, time 531.88ms, mfu 26.51%
iter 208: loss 0.0075, time 535.83ms, mfu 26.63%
iter 209: loss 0.0065, time 533.89ms, mfu 26.74%
iter 210: loss 0.0062, time 537.64ms, mfu 26.82%
iter 211: loss 0.0060, time 541.07ms, mfu 26.88%
iter 212: loss 0.0055, time 534.17ms, mfu 26.96%
iter 213: loss 0.0054, time 529.90ms, mfu 27.06%
iter 214: loss 0.0055, time 536.27ms, mfu 27.12%
iter 215: loss 0.0051, time 529.90ms, mfu 27.20%
iter 216: loss 0.0048, time 532.17ms, mfu 27.26%
iter 217: loss 0.0051, time 533.45ms, mfu 27.31%
iter 218: loss 0.0048, time 540.03ms, mfu 27.33%
iter 219: loss 0.0044, time 565.14ms, mfu 27.21%
iter 220: loss 0.0045, time 532.90ms, mfu 27.27%
iter 221: loss 0.0044, time 529.13ms, mfu 27.34%
iter 222: loss 0.0044, time 529.09ms, mfu 27.41%
iter 223: loss 0.0044, time 530.23ms, mfu 27.46%
